POA&M Item ID,Control Vulnerability Description,Controls / APs,Security Checks,POA&M Status,POA&M Scheduled Completion Date,POA&M Requested Risk Accepted Expiration Date,POA&M Completion Date,Milestone ID,Milestone Description,Milestone Status,Milestone Status Comments,Milestone Scheduled Completion Date,Milestone Completion Date,Identification Source,Identification Source Details,Office/Org,Resources Required,Comments,Raw Severity,Devices Affected,Mitigations (in-house and in conjunction with the Navy CSSP),Predisposing Conditions,Severity,Relevance of Threat,Threat Description,Likelihood,Impact,Impact Description,Residual Risk Level,Recommendations,Resulting Residual Risk after Proposed Mitigations
,Remoting Services TCP channels must utilize authentication and encryption.,SC-23,V-225237,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The default search provider must be set to use an encrypted connection.,CM-7,V-235726,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must be enabled when connected to a domain.,AC-4,V-241989,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"Windows Defender Firewall with Advanced Security must allow outbound connections, unless a rule explicitly blocks the connection when connected to a domain.",SC-5(1),V-241993,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,SQL Server must limit the number of concurrent sessions to an organization-defined number per user for all accounts and/or account types.,AC-10,V-271263,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must protect against a user falsely repudiating by ensuring the NT AUTHORITY SYSTEM account is not used for administration.,AU-10,V-271268,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must protect against a user falsely repudiating by ensuring all accounts are individual, unique, and not shared.",AU-10,V-271269,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must be configured to generate audit records for DOD-defined auditable events within all DBMS/database components.,AU-12,V-271270,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must allow only the information system security manager (ISSM) (or individuals or roles appointed by the ISSM) to select which auditable events are to be audited.,AU-12,V-271271,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must generate audit records when attempts to access privileges, categorized information, and security objects occur.",AU-12,V-271272,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must initiate session auditing upon startup.,AU-14(1),V-271273,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must include additional, more detailed, organization-defined information in the audit records for audit events identified by type, location, or subject.",AU-3(1),V-271280,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"The audit information produced by SQL Server must be protected from unauthorized access, modification, and deletion.",AU-9,V-271282,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must limit privileges to change software modules, to include stored procedures, functions and triggers, and links to software external to SQL Server.",CM-5(6),V-271284,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must limit privileges to change software modules and links to software external to SQL Server.,CM-5(6),V-271285,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"Database software, including DBMS configuration files, must be stored in dedicated directories, separate from the host OS and other applications.",CM-5(6),V-271287,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"Unused database components, DBMS software, and database objects must be removed.",CM-7,V-271291,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"The ""Remote Access"" feature must be disabled unless specifically required and approved.",CM-7,V-271298,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must be configured to prohibit or restrict the use of organization-defined ports, as defined in the Ports, Protocols, and Services Management (PPSM) Category Assurance List (CAL) and vulnerability assessments.",CM-7,V-271303,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must be configured to prohibit or restrict the use of organization-defined protocols as defined in the Ports, Protocols, and Services Management (PPSM) Category Assurance List (CAL) and vulnerability assessments.",CM-7,V-271304,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must uniquely identify and authenticate users (or processes acting on behalf of organizational users).,IA-2,V-271305,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must prevent unauthorized and unintended information transfer via Instant File Initialization (IFI).,SC-4,V-271327,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must prevent unauthorized and unintended information transfer via shared system resources.,SC-4,V-271328,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"Access to database files must be limited to relevant processes and to authorized, administrative users.",SC-4,V-271329,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server and associated applications must reserve the use of dynamic code execution for situations that require it.,SI-10,V-271331,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server and associated applications, when making use of dynamic code execution, must scan input data for invalid values that may indicate a code injection attack.",SI-10,V-271332,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must reveal detailed error messages only to documented and approved individuals or roles.,SI-11,V-271334,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must prevent nonprivileged users from executing privileged functions, to include disabling, circumventing, or altering implemented security safeguards/countermeasures.",AC-6(10),V-271341,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,Use of credentials and proxies must be restricted to necessary cases only.,AC-6(8),V-271342,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must allocate audit record storage capacity in accordance with organization-defined audit record storage requirements.,AU-4,V-271343,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must provide a warning to appropriate support staff when allocated audit record storage volume reaches 75 percent of maximum audit record storage capacity.,AU-5(1),V-271344,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must provide an immediate real-time alert to appropriate support staff of all audit log failures.,AU-5(2),V-271345,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must record time stamps in audit records and application data that can be mapped to Coordinated Universal Time (UTC), formerly Greenwich Mean Time (GMT).",AU-8,V-271346,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,Windows must enforce access restrictions associated with changes to the configuration of the SQL Server instance.,CM-5(1),V-271349,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must enforce access restrictions associated with changes to the configuration of the instance.,CM-5(1),V-271350,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must produce audit records when attempts to modify SQL Server configuration and privileges occur within the database(s).,CM-5(1),V-271351,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server services must be configured to run under unique dedicated user accounts.,SC-39,V-271358,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"When invalid inputs are received, the SQL Server must behave in a predictable and documented manner that reflects organizational and system objectives.",SI-10(3),V-271362,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"Security-relevant software updates to SQL Server must be installed within the time period directed by an authoritative source (e.g., IAVM, CTOs, DTMs, and STIGs).",SI-2,V-271364,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must generate audit records when successful and unsuccessful attempts to modify or delete security objects occur.,AU-12,V-271370,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must generate audit records when successful and unsuccessful logons or connection attempts occur.,AU-12,V-271375,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must generate audit records for all direct access to the database(s).,AU-12,V-271381,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,The system SQL Server must off-load audit data to a separate log management facility; this must be continuous and in near real time for systems with a network connection to the storage facility and weekly or more often for stand-alone systems.,AU-4(1),V-271385,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must configure SQL Server Usage and Error Reporting Auditing.,CM-6,V-271388,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must configure Customer Feedback and Error Reporting.,CM-6,V-271389,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must, for password-based authentication, require immediate selection of a new password upon account recovery.",IA-5(1),V-271400,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,The SQL Server default account [sa] must be disabled.,AC-3,V-274444,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,The SQL Server default account [sa] must have its name changed.,CM-7,V-274445,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,Both the log file and Event Tracing for Windows (ETW) for the IIS 10.0 web server must be enabled.,AU-5,V-218786,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must produce log records that contain sufficient information to establish the outcome (success or failure) of IIS 10.0 web server events.,AU-3,V-218788,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must produce log records containing sufficient information to establish the identity of any user/subject or process associated with an event.,AU-3,V-218789,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The log data and records from the IIS 10.0 web server must be backed up onto a different system or media.,AU-9(2),V-218791,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must not perform user management for hosted applications.,CM-7,V-218792,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must only contain functions necessary for operation.,CM-7,V-218793,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,"The accounts created by uninstalled features (i.e., tools, utilities, specific, etc.) must be deleted from the IIS 10.0 server.",CM-7,V-218796,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,"The IIS 10.0 web server must be reviewed on a regular basis to remove any Operating System features, utility programs, plug-ins, and modules not necessary for operation.",CM-7,V-218797,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must have Multipurpose Internet Mail Extensions (MIME) that invoke OS shell programs disabled.,CM-7,V-218798,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must separate the hosted applications from hosted web server management functionality.,SC-2,V-218803,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must augment re-creation to a stable and known baseline.,SC-24,V-218806,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must provide the capability to immediately disconnect or disable remote access to the hosted applications.,AC-17(9),V-218813,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Access to web administration tools must be restricted to the web manager and the web managers designees.,AC-3,V-218816,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must not be running on a system providing any other role.,CM-7(1),V-218817,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must be tuned to handle the operational requirements of the hosted application.,SC-5,V-218819,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 web server must maintain the confidentiality of controlled information during transmission through the use of an approved Transport Layer Security (TLS) version.,SC-8,V-218822,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,An IIS Server configured to be a SMTP relay must require authentication.,CM-7,V-228572,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The Request Smuggling filter must be enabled.,CM-7,V-268325,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,A private IIS 10.0 website must only accept Secure Socket Layer (SSL) connections.,AC-17(2),V-218737,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,A public IIS 10.0 website must only accept Secure Socket Layer (SSL) connections when authentication is required.,AC-17(2),V-218738,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Both the log file and Event Tracing for Windows (ETW) for each IIS 10.0 website must be enabled.,AU-5,V-218739,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,"An IIS 10.0 website behind a load balancer or proxy server must produce log records containing the source client IP, and destination information.",AU-3,V-218740,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must produce log records that contain sufficient information to establish the outcome (success or failure) of IIS 10.0 website events.,AU-3,V-218741,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must produce log records containing sufficient information to establish the identity of any user/subject or process associated with an event.,AU-3,V-218742,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must have Multipurpose Internet Mail Extensions (MIME) that invoke OS shell programs disabled.,CM-7,V-218743,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Mappings to unused and vulnerable scripts on the IIS 10.0 website must be removed.,CM-7,V-218744,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must have resource mappings set to disable the serving of certain file types.,CM-7,V-218745,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Each IIS 10.0 website must be assigned a default host header.,CM-7,V-218748,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,A private IIS 10.0 website authentication mechanism must use client certificates to transmit session identifier to assure integrity.,IA-5(1),V-218749,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website document directory must be in a separate partition from the IIS 10.0 websites system files.,SC-3,V-218752,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Non-ASCII characters in URLs must be prohibited by any IIS 10.0 website.,SC-5(1),V-218756,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Unlisted file extensions in URL requests must be filtered by any IIS 10.0 website.,SC-5(1),V-218758,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 websites connectionTimeout setting must be explicitly configured to disconnect an idle session.,AC-12,V-218763,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must provide the capability to immediately disconnect or disable remote access to the hosted applications.,AC-17(9),V-218764,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must use a logging mechanism configured to allocate log record storage capacity large enough to accommodate the logging requirements of the IIS 10.0 website.,AU-4,V-218765,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,"The IIS 10.0 websites must use ports, protocols, and services according to Ports, Protocols, and Services Management (PPSM) guidelines.",CM-7(1),V-218766,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 website must only accept client certificates issued by DOD PKI or DOD-approved PKI Certification Authorities (CAs).,SC-23(5),V-218767,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Cookies exchanged between the IIS 10.0 website and the client must have cookie properties set to prohibit client-side scripts from reading the cookie data.,SC-8,V-218770,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The maximum number of requests an application pool can process for each IIS 10.0 website must be explicitly set.,CM-6,V-218772,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Interactive scripts on the IIS 10.0 web server must be located in unique and designated folders.,CM-7,V-218779,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,Interactive scripts on the IIS 10.0 web server must have restrictive access controls.,CM-7,V-218780,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The required DoD banner page must be displayed to authenticated users accessing a DoD private website.,CM-6,V-218782,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,HTTPAPI Server version must be removed from the HTTP Response Header information.,SI-11,V-278953,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The log information from the IIS 10.0 website must be protected from unauthorized modification or deletion.,AU-9,V-283673,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,medium,SOT-WIN2K22-WEB,,,,,,,,,,,
,The default search provider URL must be set to perform encrypted searches.,CM-7,V-221565,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Download restrictions must be configured.,AU-12,V-221588,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Web Bluetooth API must be disabled.,CM-7,V-241787,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Turn off Encryption Support must be enabled.,SC-13,V-250540,Ongoing,,,,,,,,,,Microsoft Internet Explorer 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 domain-joined systems must have a Trusted Platform Module (TPM) enabled.,SC-8(1),V-253255,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,"Windows 11 systems must have Unified Extensible Firmware Interface (UEFI) firmware and be configured to run in UEFI mode, not Legacy BIOS.",SC-8(1),V-253256,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Secure Boot must be enabled on Windows 11 systems.,SC-8(1),V-253257,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
